,0,1,2
thrL,189.0,255.0,1.0
thrA,336.0,2799.0,1.0
thrB,2800.0,3733.0,1.0
thrC,3733.0,5020.0,1.0
yaaX,5233.0,5530.0,1.0
yaaA,5682.0,6459.0,-1.0
yaaJ,6528.0,7959.0,-1.0
talB,8237.0,9191.0,1.0
mog,9305.0,9893.0,1.0
satP,9927.0,10494.0,-1.0
yaaW,10642.0,11356.0,-1.0
yaaI,11381.0,11786.0,-1.0
dnaK,12162.0,14079.0,1.0
dnaJ,14167.0,15298.0,1.0
insL1,2507809.0,2508922.0,1.0
mokC,16750.0,16960.0,-1.0
hokC,16750.0,16903.0,-1.0
nhaA,17488.0,18655.0,1.0
nhaR,18714.0,19620.0,1.0
insB1,4508537.0,4509041.0,1.0
insA,4508343.0,4508619.0,1.0
rpsT,20814.0,21078.0,-1.0
yaaY,21180.0,21399.0,1.0
ribF,21406.0,22348.0,1.0
ileS,22390.0,25207.0,1.0
lspA,25206.0,25701.0,1.0
fkpB,25825.0,26275.0,1.0
ispH,26276.0,27227.0,1.0
rihC,27292.0,28207.0,1.0
dapB,28373.0,29195.0,1.0
carA,29650.0,30799.0,1.0
carB,30816.0,34038.0,1.0
caiF,34299.0,34695.0,1.0
caiE,34780.0,35371.0,-1.0
caiD,35376.0,36162.0,-1.0
caiC,36270.0,37824.0,-1.0
caiB,37897.0,39115.0,-1.0
caiA,39243.0,40386.0,-1.0
caiT,40416.0,41931.0,-1.0
fixA,42402.0,43173.0,1.0
fixB,43187.0,44129.0,1.0
fixC,44179.0,45466.0,1.0
fixX,45462.0,45750.0,1.0
yaaU,45806.0,47138.0,1.0
kefF,47245.0,47776.0,1.0
kefC,47768.0,49631.0,1.0
folA,49822.0,50302.0,1.0
apaH,50379.0,51222.0,-1.0
apaG,51228.0,51606.0,-1.0
rsmA,51608.0,52430.0,-1.0
pdxA,52426.0,53416.0,-1.0
surA,53415.0,54702.0,-1.0
lptD,54754.0,57109.0,-1.0
djlA,57363.0,58179.0,1.0
yabP,58473.0,59279.0,1.0
rluA,59686.0,60346.0,-1.0
rapA,60357.0,63264.0,-1.0
polB,63428.0,65780.0,-1.0
araD,65854.0,66532.0,-1.0
araC,66873.0,67752.0,1.0
yabI,67837.0,68602.0,1.0
thiQ,68715.0,69414.0,-1.0
thiP,69397.0,71008.0,-1.0
thiB,70983.0,71967.0,-1.0
sgrR,72130.0,73786.0,-1.0
sgrT,73874.0,74006.0,1.0
setA,74107.0,75286.0,1.0
leuD,75334.0,75940.0,-1.0
leuC,75950.0,77351.0,-1.0
leuB,77353.0,78445.0,-1.0
leuA,78444.0,80016.0,-1.0
leuL,80108.0,80195.0,-1.0
leuO,80854.0,81799.0,1.0
ilvI,82116.0,83841.0,1.0
ilvH,83843.0,84335.0,1.0
cra,84514.0,85519.0,1.0
mraZ,86120.0,86579.0,1.0
rsmH,86580.0,87522.0,1.0
ftsL,87518.0,87884.0,1.0
ftsI,87899.0,89666.0,1.0
murE,89652.0,91140.0,1.0
murF,91136.0,92495.0,1.0
mraY,92488.0,93571.0,1.0
murD,93573.0,94890.0,1.0
ftsW,94889.0,96134.0,1.0
murG,96130.0,97198.0,1.0
murC,97251.0,98727.0,1.0
ddlB,98719.0,99640.0,1.0
ftsQ,99641.0,100472.0,1.0
ftsA,100468.0,101731.0,1.0
ftsZ,101791.0,102943.0,1.0
lpxC,103043.0,103961.0,1.0
secM,104191.0,104704.0,1.0
secA,104765.0,107471.0,1.0
mutT,107530.0,107920.0,1.0
yacG,108135.0,108333.0,-1.0
zapD,108342.0,109086.0,-1.0
coaE,109085.0,109706.0,-1.0
guaC,109930.0,110974.0,1.0
hofC,111008.0,112211.0,-1.0
hofB,112200.0,113586.0,-1.0
ppdD,113595.0,114036.0,-1.0
nadC,114238.0,115132.0,-1.0
ampD,115219.0,115771.0,1.0
ampE,115767.0,116622.0,1.0
aroP,116664.0,118038.0,-1.0
pdhR,118578.0,119343.0,1.0
aceE,119503.0,122167.0,1.0
aceF,122181.0,124074.0,1.0
lpd,124398.0,125823.0,1.0
yacH,125893.0,127747.0,-1.0
acnB,128101.0,130699.0,1.0
yacL,130874.0,131237.0,1.0
speD,131274.0,132069.0,-1.0
speE,132084.0,132951.0,-1.0
yacC,133056.0,133404.0,-1.0
cueO,133569.0,135120.0,1.0
gcd,135321.0,137712.0,-1.0
hpt,137917.0,138454.0,1.0
can,138494.0,139157.0,-1.0
yadG,139265.0,140192.0,1.0
yadH,140188.0,140959.0,1.0
yadI,141063.0,141504.0,1.0
yadE,141567.0,142797.0,1.0
panD,142800.0,143181.0,-1.0
yadD,143454.0,144357.0,1.0
panC,144430.0,145282.0,-1.0
panB,145293.0,146088.0,-1.0
yadC,146201.0,147440.0,-1.0
yadK,147489.0,148086.0,-1.0
yadL,148112.0,148718.0,-1.0
yadM,148729.0,149299.0,-1.0
htrE,149315.0,151913.0,-1.0
yadV,151947.0,152688.0,-1.0
yadN,152785.0,153370.0,-1.0
folK,153739.0,154219.0,-1.0
pcnB,154215.0,155613.0,-1.0
gluQ,155672.0,156599.0,-1.0
dksA,156635.0,157091.0,-1.0
sfsA,157268.0,157973.0,-1.0
ligT,157987.0,158518.0,-1.0
hrpB,158591.0,161021.0,1.0
mrcB,161216.0,163751.0,1.0
fhuA,163970.0,166214.0,1.0
fhuC,166264.0,167062.0,1.0
fhuD,167061.0,167952.0,1.0
fhuB,167948.0,169931.0,1.0
hemL,170088.0,171369.0,-1.0
clcA,171593.0,173015.0,1.0
erpA,173096.0,173441.0,1.0
yadS,173487.0,174111.0,-1.0
btuF,174148.0,174949.0,-1.0
mtn,174941.0,175640.0,-1.0
dgt,175723.0,177241.0,1.0
degP,177370.0,178795.0,1.0
cdaR,178949.0,180107.0,1.0
yaeH,180195.0,180582.0,-1.0
yaeI,180743.0,181556.0,-1.0
dapD,181609.0,182434.0,-1.0
glnD,182464.0,185137.0,-1.0
map,185198.0,185993.0,-1.0
rpsB,186360.0,187086.0,1.0
tsf,187343.0,188195.0,1.0
pyrH,188341.0,189067.0,1.0
frr,189358.0,189916.0,1.0
dxr,190007.0,191204.0,1.0
ispU,191389.0,192151.0,1.0
cdsA,192163.0,193021.0,1.0
rseP,193032.0,194385.0,1.0
bamA,194414.0,196847.0,1.0
skp,196968.0,197454.0,1.0
lpxD,197457.0,198483.0,1.0
fabZ,198587.0,199043.0,1.0
lpxA,199046.0,199835.0,1.0
lpxB,199834.0,200983.0,1.0
rnhB,200979.0,201576.0,1.0
dnaE,201612.0,205095.0,1.0
accA,205107.0,206067.0,1.0
ldcC,206165.0,208307.0,1.0
yaeR,208363.0,208753.0,1.0
tilS,208817.0,210116.0,1.0
rof,210164.0,210419.0,-1.0
yaeP,210411.0,210612.0,-1.0
yaeQ,210777.0,211323.0,1.0
arfB,211319.0,211742.0,1.0
nlpE,211755.0,212466.0,1.0
yaeF,212665.0,213490.0,-1.0
proS,213543.0,215262.0,-1.0
tsaA,215373.0,216081.0,-1.0
rcsF,216077.0,216482.0,-1.0
metQ,216599.0,217415.0,-1.0
metI,217454.0,218108.0,-1.0
metN,218100.0,219132.0,-1.0
gmhB,219319.0,219895.0,1.0
dkgB,225653.0,226457.0,1.0
yafC,226453.0,227368.0,-1.0
yafD,227608.0,228409.0,1.0
yafE,228412.0,229036.0,1.0
mltD,229083.0,230442.0,-1.0
gloB,230513.0,231269.0,-1.0
yafS,231302.0,232025.0,1.0
rnhA,232021.0,232489.0,-1.0
dnaQ,232553.0,233285.0,1.0
yafT,233821.0,234607.0,1.0
ykfM,234743.0,235223.0,-1.0
yafU,235232.0,235589.0,-1.0
yafF,235592.0,235865.0,1.0
yafV,235905.0,236676.0,-1.0
ivy,236829.0,237303.0,1.0
fadE,237345.0,239790.0,-1.0
gmhA,240029.0,240608.0,1.0
yafJ,240813.0,241581.0,1.0
yafK,241551.0,242292.0,-1.0
yafQ,242447.0,242726.0,-1.0
dinJ,242728.0,242989.0,-1.0
yafL,243198.0,243948.0,1.0
rayT,244123.0,244621.0,1.0
lfhA,244844.0,246557.0,-1.0
lafU,246558.0,247314.0,1.0
dinB,247384.0,248440.0,1.0
yafN,248491.0,248785.0,1.0
yafO,248787.0,249186.0,1.0
yafP,249195.0,249648.0,1.0
ykfJ,249965.0,250172.0,1.0
prfH,250188.0,250689.0,1.0
pepD,250745.0,252203.0,-1.0
gpt,252463.0,252922.0,1.0
frsA,253013.0,254258.0,1.0
crl,254315.0,254717.0,1.0
phoE,254755.0,255811.0,-1.0
proB,256098.0,257202.0,1.0
proA,257213.0,258467.0,1.0
ykfN,258860.0,258923.0,-1.0
ykfI,259038.0,259380.0,-1.0
yafW,259400.0,259718.0,-1.0
ykfH,259736.0,259958.0,-1.0
ykfG,259966.0,260443.0,-1.0
yafX,260458.0,260917.0,-1.0
ykfF,261014.0,261254.0,-1.0
ykfB,261330.0,261798.0,-1.0
yafY,261820.0,262264.0,-1.0
ykfL,262263.0,262485.0,-1.0
ykfK,262486.0,262678.0,-1.0
yafZ,262894.0,263716.0,-1.0
ykfA,263807.0,264671.0,-1.0
perR,264999.0,265893.0,-1.0
insN,265988.0,267900.0,1.0
insI1,4497282.0,4498434.0,-1.0
ykfC,268557.0,269665.0,1.0
insH1,3645541.0,3646558.0,-1.0
mmuP,271035.0,272439.0,1.0
mmuM,272425.0,273358.0,1.0
